Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0011_v42,0011,42,7.0879,0.004623,85
simulation_4spheres_0011_v43,0011,43,8.8644,0.002773,85
simulation_4spheres_0011_v44,0011,44,6.2796,0.014311,85
simulation_4spheres_0011_v45,0011,45,7.2774,0.006158,85
simulation_4spheres_0011_v46,0011,46,3.2443,0.017820,85
simulation_4spheres_0011_v47,0011,47,5.7974,0.003383,85
simulation_4spheres_0011_v48,0011,48,5.0820,0.007400,85
simulation_4spheres_0011_v49,0011,49,6.0981,0.017696,85
simulation_4spheres_0100_v0,0100,0,3.4949,0.015701,85
simulation_4spheres_0100_v1,0100,1,7.6653,0.010079,85
simulation_4spheres_0100_v2,0100,2,7.0742,0.003471,85
simulation_4spheres_0100_v3,0100,3,3.4065,0.010367,85
simulation_4spheres_0100_v4,0100,4,4.8762,0.002564,85
simulation_4spheres_0100_v5,0100,5,4.4082,0.003273,85
simulation_4spheres_0100_v6,0100,6,5.2240,0.010060,85
simulation_4spheres_0100_v7,0100,7,4.2781,0.013697,85
simulation_4spheres_0100_v8,0100,8,7.4529,0.003893,85
simulation_4spheres_0100_v9,0100,9,7.3119,0.001139,85
simulation_4spheres_0100_v10,0100,10,4.9694,0.001893,85
simulation_4spheres_0100_v11,0100,11,5.3984,0.007501,85
simulation_4spheres_0100_v12,0100,12,3.4943,0.015131,85
simulation_4spheres_0100_v13,0100,13,5.6956,0.011900,85
simulation_4spheres_0100_v14,0100,14,7.0903,0.015286,85
simulation_4spheres_0100_v15,0100,15,3.7145,0.015253,85
simulation_4spheres_0100_v16,0100,16,6.1258,0.010271,85
simulation_4spheres_0100_v17,0100,17,5.4568,0.003175,85
simulation_4spheres_0100_v18,0100,18,7.7125,0.019118,85
simulation_4spheres_0100_v19,0100,19,6.0631,0.014903,85
simulation_4spheres_0100_v20,0100,20,8.9533,0.015601,85
simulation_4spheres_0100_v21,0100,21,4.0417,0.006387,85
simulation_4spheres_0100_v22,0100,22,3.7278,0.009556,85
simulation_4spheres_0100_v23,0100,23,5.2684,0.003624,85
simulation_4spheres_0100_v24,0100,24,7.5680,0.015706,85
simulation_4spheres_0100_v25,0100,25,4.2494,0.015927,85
simulation_4spheres_0100_v26,0100,26,4.6637,0.011574,85
simulation_4spheres_0100_v27,0100,27,4.2152,0.017131,85
simulation_4spheres_0100_v28,0100,28,5.9475,0.001442,85
simulation_4spheres_0100_v29,0100,29,7.8065,0.017440,85
simulation_4spheres_0100_v30,0100,30,7.1470,0.013941,85
simulation_4spheres_0100_v31,0100,31,8.9605,0.013761,85
simulation_4spheres_0100_v32,0100,32,5.2568,0.005774,85
simulation_4spheres_0100_v33,0100,33,8.6306,0.015688,85
simulation_4spheres_0100_v34,0100,34,6.5806,0.007494,85
simulation_4spheres_0100_v35,0100,35,5.8069,0.016955,85
simulation_4spheres_0100_v36,0100,36,7.7708,0.018494,85
simulation_4spheres_0100_v37,0100,37,5.2027,0.008989,85
simulation_4spheres_0100_v38,0100,38,6.8721,0.015572,85
simulation_4spheres_0100_v39,0100,39,8.7525,0.001089,85
simulation_4spheres_0100_v40,0100,40,5.4631,0.008607,85
simulation_4spheres_0100_v41,0100,41,4.5557,0.004685,85
simulation_4spheres_0100_v42,0100,42,7.8720,0.011798,85
simulation_4spheres_0100_v43,0100,43,8.7261,0.008696,85
simulation_4spheres_0100_v44,0100,44,3.7559,0.012299,85
simulation_4spheres_0100_v45,0100,45,4.6194,0.004130,85
simulation_4spheres_0100_v46,0100,46,7.4212,0.012703,85
simulation_4spheres_0100_v47,0100,47,6.2396,0.017054,85
simulation_4spheres_0100_v48,0100,48,3.4385,0.007060,85
simulation_4spheres_0100_v49,0100,49,8.1149,0.011914,85
simulation_4spheres_0101_v0,0101,0,3.4754,0.010995,85
simulation_4spheres_0101_v1,0101,1,8.1333,0.019461,85
simulation_4spheres_0101_v2,0101,2,8.9508,0.016147,85
simulation_4spheres_0101_v3,0101,3,6.6967,0.012845,85
simulation_4spheres_0101_v4,0101,4,3.4321,0.002991,85
simulation_4spheres_0101_v5,0101,5,7.9548,0.016272,85
simulation_4spheres_0101_v6,0101,6,3.6380,0.013703,85
simulation_4spheres_0101_v7,0101,7,3.2961,0.010556,85
simulation_4spheres_0101_v8,0101,8,4.2910,0.016045,85
simulation_4spheres_0101_v9,0101,9,4.8795,0.001677,85
simulation_4spheres_0101_v10,0101,10,7.4702,0.019278,85
simulation_4spheres_0101_v11,0101,11,4.1373,0.016254,85
simulation_4spheres_0101_v12,0101,12,5.4143,0.019758,85
simulation_4spheres_0101_v13,0101,13,4.2478,0.002496,85
simulation_4spheres_0101_v14,0101,14,7.2045,0.009648,85
simulation_4spheres_0101_v15,0101,15,7.3702,0.017667,85
simulation_4spheres_0101_v16,0101,16,4.0608,0.011772,85
simulation_4spheres_0101_v17,0101,17,4.9699,0.009302,85
simulation_4spheres_0101_v18,0101,18,4.2191,0.002766,85
simulation_4spheres_0101_v19,0101,19,8.2132,0.010232,85
simulation_4spheres_0101_v20,0101,20,3.4595,0.006455,85
simulation_4spheres_0101_v21,0101,21,7.0843,0.011174,85
simulation_4spheres_0101_v22,0101,22,5.3506,0.003055,85
simulation_4spheres_0101_v23,0101,23,8.1972,0.011702,85
simulation_4spheres_0101_v24,0101,24,4.6480,0.014211,85
simulation_4spheres_0101_v25,0101,25,8.8012,0.017118,85
simulation_4spheres_0101_v26,0101,26,4.9401,0.014152,85
simulation_4spheres_0101_v27,0101,27,3.9854,0.017594,85
simulation_4spheres_0101_v28,0101,28,8.6045,0.004990,85
simulation_4spheres_0101_v29,0101,29,8.5203,0.004509,85
simulation_4spheres_0101_v30,0101,30,3.4501,0.010938,85
simulation_4spheres_0101_v31,0101,31,7.0887,0.012649,85
simulation_4spheres_0101_v32,0101,32,7.7003,0.014200,85
simulation_4spheres_0101_v33,0101,33,7.7400,0.010353,85
simulation_4spheres_0101_v34,0101,34,8.7457,0.014143,85
simulation_4spheres_0101_v35,0101,35,6.8000,0.017338,85
simulation_4spheres_0101_v36,0101,36,8.5094,0.018020,85
simulation_4spheres_0101_v37,0101,37,6.4527,0.015813,85
simulation_4spheres_0101_v38,0101,38,4.9017,0.015576,85
simulation_4spheres_0101_v39,0101,39,4.0327,0.008531,85
simulation_4spheres_0101_v40,0101,40,5.5801,0.018624,85
simulation_4spheres_0101_v41,0101,41,4.6751,0.005830,85
simulation_4spheres_0101_v42,0101,42,3.9572,0.006399,85
simulation_4spheres_0101_v43,0101,43,7.1553,0.017140,85
simulation_4spheres_0101_v44,0101,44,6.4205,0.017533,85
simulation_4spheres_0101_v45,0101,45,8.1344,0.009179,85
simulation_4spheres_0101_v46,0101,46,4.4701,0.005102,85
simulation_4spheres_0101_v47,0101,47,7.3945,0.005741,85
simulation_4spheres_0101_v48,0101,48,5.5901,0.019939,85
simulation_4spheres_0101_v49,0101,49,8.2291,0.001038,85
simulation_4spheres_0110_v0,0110,0,6.3689,0.008895,85
simulation_4spheres_0110_v1,0110,1,3.7061,0.011779,85
simulation_4spheres_0110_v2,0110,2,6.2112,0.012809,85
simulation_4spheres_0110_v3,0110,3,3.2971,0.003771,85
simulation_4spheres_0110_v4,0110,4,4.9490,0.002798,85
simulation_4spheres_0110_v5,0110,5,6.3796,0.019544,85
simulation_4spheres_0110_v6,0110,6,7.8494,0.016050,85
simulation_4spheres_0110_v7,0110,7,8.0553,0.011674,85
simulation_4spheres_0110_v8,0110,8,7.3780,0.005506,85
